"","composer","set","performer","chroma","mode","albumID","stat_name","variable","value"
"123","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","median","onset_strength",0.56190037727356
"124","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","mean","high_freq_energy",0.0329932905733585
"125","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","std","high_freq_energy",0.0626441836357117
"126","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","median","high_freq_energy",0.0161095093935728
"127","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","mean","centroid",1128.22419244124
"128","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","std","centroid",340.898491499266
"129","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","median","centroid",1068.42651083436
"130","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","mean","zerocrossing",0.0219434707407589
"131","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","std","zerocrossing",0.00621369615055683
"132","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","median","zerocrossing",0.021484375
"133","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","mean","rms",0.0150377973914146
"134","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","std","rms",0.00735934171825647
"135","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","median","rms",0.0134784476831555
"136","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","mean","tempo",117.453835227273
"137","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","std","tempo",0
"138","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","median","tempo",117.453835227273
"139","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","mean","onset_strength",0.551714420318604
"140","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","std","onset_strength",0.50758558511734
"141","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","median","onset_strength",0.455508589744568
"142","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","mean","high_freq_energy",0.0134886344894767
"143","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","std","high_freq_energy",0.0971480682492256
"144","chopin","1","ashkenazy","1","Major","chopinAshkenazy1992","median","high_freq_energy",0.00657096412032842
"145","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","mean","centroid",1681.09477289652
"146","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","std","centroid",784.897761858996
"147","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","median","centroid",1446.3517421087
"148","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","mean","zerocrossing",0.0235784424626343
"149","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","std","zerocrossing",0.00792813846766099
"150","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","median","zerocrossing",0.02099609375
"151","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","mean","rms",0.00855466164648532
"152","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","std","rms",0.00597115978598594
"153","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","median","rms",0.00739605305716395
"154","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","mean","tempo",123.046875
"155","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","std","tempo",0
"156","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","median","tempo",123.046875
"157","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","mean","onset_strength",0.479488015174866
"158","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","std","onset_strength",0.435308396816254
"159","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","median","onset_strength",0.406491249799728
"160","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","mean","high_freq_energy",0.055563323199749
"161","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","std","high_freq_energy",0.108476363122463
"162","chopin","1","ashkenazy","9","Major","chopinAshkenazy1992","median","high_freq_energy",0.0181563030928373
"163","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","mean","centroid",910.942152446249
"164","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","std","centroid",190.625128348563
"165","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","median","centroid",898.748853036678
"166","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","mean","zerocrossing",0.0226484468172331
"167","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","std","zerocrossing",0.00683444711795865
"168","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","median","zerocrossing",0.021484375
"169","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","mean","rms",0.0188987534493208
"170","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","std","rms",0.00635951664298772
"171","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","median","rms",0.018332589417696
"172","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","mean","tempo",112.34714673913
"173","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","std","tempo",0
"174","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","median","tempo",112.34714673913
"175","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","mean","onset_strength",0.60465794801712
"176","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","std","onset_strength",0.347671240568161
"177","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","median","onset_strength",0.517273783683777
"178","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","mean","high_freq_energy",0.00770826498046517
"179","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","std","high_freq_energy",0.0470337271690369
"180","chopin","1","ashkenazy","5","Major","chopinAshkenazy1992","median","high_freq_energy",0.00418515969067812
"181","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","mean","centroid",1026.34752092055
"182","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","std","centroid",262.910238028989
"183","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","median","centroid",983.424109861439
"184","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","mean","zerocrossing",0.018390220552097
"185","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","std","zerocrossing",0.00457563582579249
"186","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","median","zerocrossing",0.0185546875
"187","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","mean","rms",0.0140849445015192
"188","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","std","rms",0.006899228785187
"189","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","median","rms",0.012400109320879
"190","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","mean","tempo",117.453835227273
"191","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","std","tempo",0
"192","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","median","tempo",117.453835227273
"193","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","mean","onset_strength",0.503172934055328
"194","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","std","onset_strength",0.300688862800598
"195","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","median","onset_strength",0.448103100061417
"196","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","mean","high_freq_energy",0.0106314113363624
"197","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","std","high_freq_energy",0.0117123341187835
"198","chopin","1","ashkenazy","6","Major","chopinAshkenazy1992","median","high_freq_energy",0.00697846803814172
"199","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","mean","centroid",966.037968791936
"200","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","std","centroid",181.991464367018
"201","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","median","centroid",945.194174278172
"202","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","mean","zerocrossing",0.0271180261726306
"203","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","std","zerocrossing",0.00351465644385777
"204","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","median","zerocrossing",0.02685546875
"205","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","mean","rms",0.080058291554451
"206","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","std","rms",0.0213155243545771
"207","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","median","rms",0.0785979256033897
"208","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","mean","tempo",129.19921875
"209","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","std","tempo",0
"210","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","median","tempo",129.19921875
"211","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","mean","onset_strength",0.844043850898743
"212","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","std","onset_strength",0.874778687953949
"213","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","median","onset_strength",0.595895409584045
"214","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","mean","high_freq_energy",0.121698781847954
"215","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","std","high_freq_energy",0.112757869064808
"216","chopin","1","ashkenazy","8","minor","chopinAshkenazy1992","median","high_freq_energy",0.0828849822282791
"217","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","mean","centroid",857.279567847642
"218","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","std","centroid",312.084921962326
"219","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","median","centroid",802.310519169027
"220","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","mean","zerocrossing",0.0231494060709902
"221","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","std","zerocrossing",0.00779774670637653
"222","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","median","zerocrossing",0.021484375
"223","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","mean","rms",0.0766202136874199
"224","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","std","rms",0.0163501035422087
"225","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","median","rms",0.0751638412475586
"226","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","mean","tempo",117.453835227273
"227","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","std","tempo",0
"228","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","median","tempo",117.453835227273
"229","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","mean","onset_strength",0.695602595806122
"230","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","std","onset_strength",0.721154272556305
"231","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","median","onset_strength",0.562005460262299
"232","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","mean","high_freq_energy",0.131068632006645
"233","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","std","high_freq_energy",0.465137660503387
"234","chopin","1","ashkenazy","2","minor","chopinAshkenazy1992","median","high_freq_energy",0.0460917055606842
"235","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","mean","centroid",1009.32839499145
"236","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","std","centroid",126.692242306752
"237","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","median","centroid",1008.1503800074
"238","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","mean","zerocrossing",0.0282243399784483
"239","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","std","zerocrossing",0.00569095258957769
"240","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","median","zerocrossing",0.02734375
"241","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","mean","rms",0.0772333070635796
"242","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","std","rms",0.0250523034483194
"243","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","median","rms",0.0721765756607056
"244","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","mean","tempo",112.34714673913
"245","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","std","tempo",0
"246","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","median","tempo",112.34714673913
"247","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","mean","onset_strength",0.79443222284317
"248","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","std","onset_strength",0.631948173046112
"249","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","median","onset_strength",0.59693443775177
"250","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","mean","high_freq_energy",0.128991320729256
"251","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","std","high_freq_energy",0.11048137396574
"252","chopin","1","ashkenazy","5","minor","chopinAshkenazy1992","median","high_freq_energy",0.0938873440027237
"253","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","mean","centroid",1291.12806987612
"254","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","std","centroid",1478.42921174054
"255","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","median","centroid",844.896840126504
"256","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","mean","zerocrossing",0.0244523750521703
"257","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","std","zerocrossing",0.0180532521724371
"258","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","median","zerocrossing",0.0224609375
"259","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","mean","rms",0.0260354671627283
"260","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","std","rms",0.0130439773201942
"261","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","median","rms",0.0282509047538042
"262","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","mean","tempo",129.19921875
"263","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","std","tempo",0
"264","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","median","tempo",129.19921875
"265","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","mean","onset_strength",0.714511871337891
"266","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","std","onset_strength",0.51336258649826
"267","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","median","onset_strength",0.5628422498703
"268","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","mean","high_freq_energy",0.133691504597664
"269","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","std","high_freq_energy",0.990985989570618
"270","chopin","1","ashkenazy","2","Major","chopinAshkenazy1992","median","high_freq_energy",0.0103517919778824
"271","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","mean","centroid",895.110093374858
"272","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","std","centroid",574.690582487866
"273","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","median","centroid",776.643739338168
"274","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","mean","zerocrossing",0.026783925709707
"275","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","std","zerocrossing",0.00622197804928023
"276","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","median","zerocrossing",0.0263671875
"277","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","mean","rms",0.0379125773906708
"278","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","std","rms",0.0138989482074976
"279","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","median","rms",0.0394260548055172
"280","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","mean","tempo",129.19921875
"281","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","std","tempo",0
"282","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","median","tempo",129.19921875
"283","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","mean","onset_strength",0.685413718223572
"284","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","std","onset_strength",0.549241662025452
"285","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","median","onset_strength",0.562082648277283
"286","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","mean","high_freq_energy",0.0371998846530914
"287","chopin","1","ashkenazy","3","Major","chopinAshkenazy1992","std","high_freq_energy",0.411056607961655
