set,composer,albumID,pieceID,key,chroma,participant,valence,arousal,condition,expID
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,38,2,29,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,38,7,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,39,2,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,39,5,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,4,3,12,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,4,6,64,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,40,5,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,40,6,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,41,3,16,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,41,6,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,42,3,26,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,42,6,75,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,43,3,51,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,43,7,89,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,6,2,64,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,6,6,81,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,7,2,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,7,5,44,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,8,3,31,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,8,6,75,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,12,3,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,12,5,51,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,13,2,92,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,13,4,83,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,14,2,97,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,14,6,93,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,15,3,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,15,4,69,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,16,2,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,16,6,88,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,17,3,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,17,6,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,18,4,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,18,5,69,deadpan,137
